"","Locator","Date","LabEC","RCardEC","Dog_biomarker","Hu_biomarker","nObs"
"1","MAS_CNV3952","2024-01-29","NS","280","NS","NS",NA
"2","MAS_CNV3952","2024-02-07","52","0","NS","NS",NA
"3","MAS_CNV3952","2024-02-14","NS","40","NS","NS",NA
"4","MAS_CNV3952","2024-03-14","11","80","NS","NS",NA
"5","MAS_CNV3952","2024-05-22","NS","280","NS","NS",NA
"6","MAS_CNV3952","2024-07-15","NS","0","NS","NS",NA
"7","MAS_CNV3964","2024-02-07","NS","0","NS","NS",NA
"8","MAS_CNV3964","2024-02-14","NS","0","NS","NS",NA
"9","MAS_CNV3964","2024-03-14","NS","0","NS","NS",NA
"10","MAS_CNV3964","2024-05-22","NS","0","NS","NS",NA
"11","MAS_CNV3950","2024-02-07","14","0","NS","NS",NA
"12","MAS_CNV3950","2024-02-14","NS","0","NS","NS",NA
"13","MAS_CNV3950","2024-03-14","NS","0","NS","NS",NA
"14","MAS_CNV3962","2024-02-07","34","40","NS","NS",NA
"15","MAS_CNV3962","2024-02-14","NS","0","NS","NS",NA
"16","MAS_CNV3962","2024-03-14","NS","80","NS","NS",NA
"17","MAS_OSD0775","2024-02-07","NS","0","NS","NS",NA
"18","MAS_OSD0775","2024-02-14","NS","0","NS","NS",NA
"19","MAS_OSD0775","2024-03-14","NS","80","NS","NS",NA
